datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Total_booking
05-02-2012 19:00,Summer,0,1, Clear + Few clouds,22.14,25.76,77,16.9979,504
09-05-2012 04:00,Fall,0,1, Clear + Few clouds,28.7,33.335,79,19.0012,5
1/13/2011 9:00,Spring,0,1, Clear + Few clouds,5.74,6.06,50,22.0028,139
11/18/2011 16:00,Winter,0,1, Clear + Few clouds,13.94,16.665,29,8.9981,209
9/13/2011 13:00,Fall,0,1, Clear + Few clouds,30.34,33.335,51,19.0012,184
8/17/2012 17:00,Fall,0,1, Clear + Few clouds,33.62,12.12,36,22.0028,791
10-06-2012 09:00,Winter,0,0, Clear + Few clouds,24.6,29.545,73,12.998,395
09-10-2012 04:00,Fall,0,1, Clear + Few clouds,21.32,25,68,19.0012,5
7/14/2012 4:00,Fall,0,0," Light Snow, Light Rain",27.06,31.06,61,7.0015,9
02-06-2011 18:00,Spring,0,0, Clear + Few clouds,12.3,15.15,56,11.0014,78
1/17/2012 15:00,Spring,0,1, Clear + Few clouds,18.04,21.97,62,32.9975,129
09-10-2012 20:00,Fall,0,1, Clear + Few clouds,24.6,31.06,40,12.998,390
3/13/2011 13:00,Spring,0,0, Clear + Few clouds,18.86,22.725,38,26.0027,221
6/14/2012 9:00,Summer,0,1, Clear + Few clouds,25.42,30.305,61,15.0013,357
02-09-2012 14:00,Spring,0,1, Clear + Few clouds,13.12,15.15,39,19.9995,144
9/19/2011 23:00,Fall,0,1, Mist + Cloudy ,22.96,26.515,73,12.998,68
10-06-2012 11:00,Winter,0,0, Clear + Few clouds,26.24,30.305,65,16.9979,647
2/18/2011 8:00,Spring,0,1, Mist + Cloudy ,17.22,21.21,77,12.998,272
10-09-2011 19:00,Winter,0,0, Clear + Few clouds,22.96,26.515,73,6.0032,302
06-12-2012 01:00,Summer,0,1, Mist + Cloudy ,27.88,31.82,65,11.0014,16
08-02-2011 17:00,Fall,0,1, Mist + Cloudy ,36.9,39.395,27,8.9981,556
09-12-2011 10:00,Fall,0,1, Clear + Few clouds,27.88,31.82,62,11.0014,129
5/18/2011 20:00,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981,213
08-07-2012 22:00,Fall,0,1, Clear + Few clouds,29.52,34.85,74,7.0015,224
8/14/2011 17:00,Fall,0,0, Clear + Few clouds,31.16,35.605,62,8.9981,329
12/17/2011 9:00,Winter,0,0, Mist + Cloudy ,10.66,12.12,56,16.9979,100
12-03-2012 07:00,Winter,0,1, Mist + Cloudy ,13.94,18.18,93,0,396
05-02-2012 18:00,Summer,0,1, Clear + Few clouds,22.96,26.515,73,15.0013,813
4/13/2011 11:00,Summer,0,1, Mist + Cloudy ,17.22,21.21,82,12.998,61
06-04-2012 10:00,Summer,0,1, Clear + Few clouds,26.24,31.06,41,31.0009,187
07-10-2012 17:00,Fall,0,1, Clear + Few clouds,31.98,35.605,49,12.998,872
